Unnamed: 0,负荷预测,外送,新能源预测,风电预测,光伏预测,非市场化出力,竞价空间(火电),水电,负荷预测周日,日前出清电价,实时出清电价,hour,day_of_week,month,quarter_hour,is_peak,is_weekend
2025-07-01 00:15:00,33038,-5893,4337.541,4337.541,0.0,23751.358,10842.101,19599.998,33244,210.161,253.0619,0,1,7,1,0,0
2025-07-01 00:30:00,32861,-6126,4331.943,4331.943,0.0,23742.638,10912.419,19599.998,33244,235.161,253.0619,0,1,7,2,0,0
2025-07-01 00:45:00,32454,-6360,4323.925,4323.925,0.0,23737.408,10752.667,19599.998,33244,223.161,253.0619,0,1,7,3,0,0
2025-07-01 01:00:00,31892,-6595,4316.157,4316.157,0.0,23702.858,10467.985,19569.998,33244,219.461,253.0619,1,1,7,0,0,0
2025-07-01 01:15:00,31398,-6826,4308.892,4308.892,0.0,23315.058,10600.05,19179.998,31939,235.161,254.3339,1,1,7,1,0,0
2025-07-01 01:30:00,30994,-6961,4301.649,4301.649,0.0,23221.152,10432.199,19094.162,31939,255.661,254.3339,1,1,7,2,0,0
2025-07-01 01:45:00,30786,-7096,4293.81,4293.81,0.0,23184.668,10403.522,19059.998,31939,265.161,254.3339,1,1,7,3,0,0
2025-07-01 02:00:00,30364,-7231,4283.635,4283.635,0.0,23130.045,10181.32,19044.235,31939,263.161,254.3339,2,1,7,0,0,0
2025-07-01 02:15:00,30271,-7364,4276.649,4276.649,0.0,22927.984,10430.367,18836.554,31447,251.922,251.0093,2,1,7,1,0,0
2025-07-01 02:30:00,29889,-7365,4269.986,4269.986,0.0,22768.441,10215.573,18675.761,31447,251.922,251.0093,2,1,7,2,0,0
2025-07-01 02:45:00,29642,-7365,4263.523,4263.523,0.0,22547.198,10196.279,18459.998,31447,242.051,251.0093,2,1,7,3,0,0
2025-07-01 03:00:00,29428,-7365,4257.942,4257.942,0.0,22547.748,9987.31,18459.998,31447,232.181,251.0093,3,1,7,0,0,0
2025-07-01 03:15:00,29236,-7363,4249.538,4249.538,0.0,22438.078,9911.384,18351.998,30920,216.684,221.2704,3,1,7,1,0,0
2025-07-01 03:30:00,29077,-7366,4241.311,4241.311,0.0,22425.568,9776.121,18351.998,30920,212.44,221.2704,3,1,7,2,0,0
2025-07-01 03:45:00,28923,-7368,4235.188,4235.188,0.0,22383.568,9672.244,18327.998,30920,207.505,221.2704,3,1,7,3,0,0
2025-07-01 04:00:00,28776,-7370,4231.667,4231.667,0.0,22317.518,9596.815,18272.998,30920,207.505,221.2704,4,1,7,0,0,0
2025-07-01 04:15:00,28763,-7370,4237.938,4237.938,0.0,22341.434,9553.628,18295.814,31290,200.596,214.025,4,1,7,1,0,0
2025-07-01 04:30:00,28757,-7371,4247.285,4247.285,0.0,22313.258,9567.457,18272.998,31290,199.51,214.025,4,1,7,2,0,0
2025-07-01 04:45:00,28775,-7371,4258.485,4258.485,0.0,22257.518,9629.997,18217.998,31290,203.765,214.025,4,1,7,3,0,0
2025-07-01 05:00:00,28815,-7371,4272.193,4267.693,4.5,22359.852,9553.955,18325.182,31290,199.51,214.025,5,1,7,0,0,0
2025-07-01 05:15:00,29142,-7371,4295.585,4278.595,16.99,22408.498,9808.917,18375.998,32195,210.466,228.5473,5,1,7,1,0,0
2025-07-01 05:30:00,29284,-7255,4388.1,4288.61,99.49,22426.258,9724.642,18351.998,32195,210.466,228.5473,5,1,7,2,0,0
2025-07-01 05:45:00,29812,-7135,4579.654,4300.509,279.145,22497.398,9869.948,18351.998,32195,207.505,228.5473,5,1,7,3,0,0
2025-07-01 06:00:00,29981,-7017,4926.745,4308.877,617.868,22657.778,9413.477,18327.998,32195,163.088,228.5473,6,1,7,0,0,0
2025-07-01 06:15:00,30640,-6897,5512.467,4332.972,1179.495,22855.348,9169.185,18272.998,33491,153.218,118.0819,6,1,7,1,0,0
2025-07-01 06:30:00,30671,-6693,6268.851,4333.968,1934.883,23093.048,8002.101,18167.998,33491,123.606,118.0819,6,1,7,2,0,0
2025-07-01 06:45:00,31056,-6488,7135.314,4333.161,2802.153,23065.348,7343.338,17747.998,33491,113.736,118.0819,6,1,7,3,0,0
2025-07-01 07:00:00,31463,-6283,8144.632,4331.018,3813.614,23170.778,6430.59,17447.998,33491,25.97,118.0819,7,1,7,0,0,0
2025-07-01 07:15:00,32410,-6076,9244.936,4312.992,4931.944,23594.788,5646.276,17363.998,36228,6.992,1.4336,7,1,7,1,0,0
2025-07-01 07:30:00,32702,-5806,10428.475,4276.52,6151.955,24073.148,4006.377,17279.998,36228,6.992,1.4336,7,1,7,2,0,0
2025-07-01 07:45:00,33260,-5531,11683.143,4240.009,7443.134,24689.158,2418.699,17279.998,36228,6.992,1.4336,7,1,7,3,0,0
2025-07-01 08:00:00,34612,-5258,12968.097,4206.26,8761.837,25272.368,1629.535,17279.998,36228,6.992,1.4336,8,1,7,0,0,0
2025-07-01 08:15:00,36046,-4978,14261.448,4180.914,10080.534,25864.948,897.604,17279.998,40290,6.992,4.9361,8,1,7,1,0,0
2025-07-01 08:30:00,36982,-5104,15589.561,4160.416,11429.145,26306.898,189.541,17279.998,40290,3.883,4.9361,8,1,7,2,0,0
2025-07-01 08:45:00,38050,-5223,16869.46,4139.488,12729.972,26734.548,-331.008,17279.998,40290,3.883,4.9361,8,1,7,3,0,0
2025-07-01 09:00:00,38927,-5346,18113.207,4125.034,13988.173,27299.928,-1140.135,17237.998,40290,3.883,4.9361,9,1,7,0,1,0
2025-07-01 09:15:00,39667,-5113,19251.31,4134.235,15117.075,27724.888,-2196.198,17237.998,42244,3.883,14.7506,9,1,7,1,1,0
2025-07-01 09:30:00,40166,-5252,20355.414,4166.472,16188.942,28203.268,-3140.682,17237.998,42244,3.883,14.7506,9,1,7,2,1,0
2025-07-01 09:45:00,40922,-5146,21372.804,4196.01,17176.794,27752.298,-3057.102,16337.998,42244,3.883,14.7506,9,1,7,3,1,0
2025-07-01 10:00:00,41734,-4853,22290.166,4226.202,18063.964,27014.138,-2717.304,15437.998,42244,3.883,14.7506,10,1,7,0,1,0
2025-07-01 10:15:00,41807,-4369,23149.339,4260.256,18889.083,26359.598,-3332.937,14479.998,43449,3.883,14.386,10,1,7,1,1,0
2025-07-01 10:30:00,42042,-3870,23923.62,4293.459,19630.161,25680.218,-3691.838,13479.998,43449,3.883,14.386,10,1,7,2,1,0
2025-07-01 10:45:00,42763,-3959,24628.512,4323.213,20305.299,25820.698,-3727.21,13337.998,43449,4.213,14.386,10,1,7,3,1,0
2025-07-01 11:00:00,43052,-4049,25235.072,4349.765,20885.307,25791.428,-3925.5,13275.998,43449,36.664,14.386,11,1,7,0,1,0
2025-07-01 11:15:00,43405,-4137,25715.104,4366.183,21348.921,25705.838,-3878.942,13179.998,43250,8.103,19.3797,11,1,7,1,1,0
2025-07-01 11:30:00,43512,-4248,26135.386,4374.996,21760.39,25754.668,-4130.054,13137.998,43250,3.883,19.3797,11,1,7,2,1,0
2025-07-01 11:45:00,43023,-4355,26452.077,4379.176,22072.901,25782.948,-4857.025,13137.998,43250,3.883,19.3797,11,1,7,3,1,0
2025-07-01 12:00:00,42617,-4462,26673.313,4381.681,22291.632,25869.848,-5464.161,13102.998,43250,3.883,19.3797,12,1,7,0,1,0
2025-07-01 12:15:00,43123,-4567,26789.788,4377.821,22411.967,25797.148,-4896.936,13067.998,44422,7.773,50.2218,12,1,7,1,1,0
2025-07-01 12:30:00,43768,-4605,26812.908,4373.006,22439.902,25679.958,-4119.866,13067.998,44422,44.131,50.2218,12,1,7,2,1,0
2025-07-01 12:45:00,43770,-4641,26792.746,4368.08,22424.666,25703.948,-4085.694,13067.998,44422,24.995,50.2218,12,1,7,3,1,0
2025-07-01 13:00:00,43480,-4677,26664.82,4362.84,22301.98,25736.048,-4243.868,13067.998,44422,13.493,50.2218,13,1,7,0,1,0
2025-07-01 13:15:00,43560,-4710,26462.483,4356.952,22105.531,25879.168,-4071.651,13067.998,43914,13.493,55.2046,13,1,7,1,1,0
2025-07-01 13:30:00,43839,-4714,26178.808,4350.264,21828.544,25824.828,-3450.636,13067.998,43914,13.493,55.2046,13,1,7,2,1,0
2025-07-01 13:45:00,43398,-4718,25767.858,4342.591,21425.267,25691.658,-3343.516,13067.998,43914,3.883,55.2046,13,1,7,3,1,0
2025-07-01 14:00:00,42374,-4722,25297.921,4332.393,20965.528,25767.358,-3969.279,13109.998,43914,3.883,55.2046,14,1,7,0,1,0
2025-07-01 14:15:00,42297,-4725,24687.834,4318.82,20369.014,25666.288,-3332.122,13109.998,43331,3.883,48.4833,14,1,7,1,1,0
2025-07-01 14:30:00,42157,-4718,23993.827,4300.741,19693.086,25501.868,-2620.695,13109.998,43331,4.36,48.4833,14,1,7,2,1,0
2025-07-01 14:45:00,41899,-4710,23251.055,4283.811,18967.244,25589.008,-2231.063,13367.998,43331,4.36,48.4833,14,1,7,3,1,0
2025-07-01 15:00:00,41833,-4702,22397.932,4264.891,18133.041,25556.928,-1419.86,13667.998,43331,4.213,48.4833,15,1,7,0,1,0
2025-07-01 15:15:00,41951,-5282,21492.119,4243.933,17248.186,26291.898,-551.017,14677.998,43259,10.037,134.98,15,1,7,1,1,0
2025-07-01 15:30:00,42238,-5691,20484.79,4219.384,16265.406,26889.008,555.202,15719.998,43259,10.037,134.98,15,1,7,2,1,0
2025-07-01 15:45:00,41895,-5935,19406.197,4195.492,15210.705,27202.028,1221.775,16419.998,43259,50.905,134.98,15,1,7,3,1,0
2025-07-01 16:00:00,42001,-5993,18283.592,4169.372,14114.22,27575.288,2135.12,17182.998,43259,76.878,134.98,16,1,7,0,1,0
2025-07-01 16:15:00,41988,-5810,17029.826,4145.162,12884.664,27288.418,3479.756,17418.998,42743,3.883,147.4752,16,1,7,1,1,0
2025-07-01 16:30:00,41923,-5554,15720.307,4127.024,11593.283,26924.478,4832.215,17607.998,42743,3.883,147.4752,16,1,7,2,1,0
2025-07-01 16:45:00,41851,-5272,14394.828,4112.542,10282.286,26772.058,5956.114,17991.998,42743,112.685,147.4752,16,1,7,3,1,0
2025-07-01 17:00:00,41533,-4990,13045.404,4101.462,8943.942,27000.388,6477.208,18639.998,42743,156.621,147.4752,17,1,7,0,1,0
2025-07-01 17:15:00,41370,-4703,11705.519,4091.528,7613.991,26957.798,7409.683,19019.278,41049,153.793,357.2192,17,1,7,1,1,0
2025-07-01 17:30:00,40666,-4607,10378.94,4086.792,6292.148,26924.018,7970.042,19479.998,41049,215.055,357.2192,17,1,7,2,1,0
2025-07-01 17:45:00,40524,-4508,9134.487,4087.723,5046.764,26750.558,9146.955,19799.998,41049,257.687,357.2192,17,1,7,3,1,0
2025-07-01 18:00:00,40163,-4412,7980.629,4098.156,3882.473,26852.338,9742.033,20287.498,41049,271.345,357.2192,18,1,7,0,1,0
2025-07-01 18:15:00,39717,-4364,6997.639,4134.254,2863.385,27021.838,10061.523,20794.998,40607,271.345,436.3729,18,1,7,1,1,0
2025-07-01 18:30:00,39577,-4256,6163.333,4184.679,1978.654,26815.298,10854.369,20972.498,40607,296.713,436.3729,18,1,7,2,1,0
2025-07-01 18:45:00,39250,-4146,5437.994,4238.268,1199.726,26932.168,11025.838,21449.998,40607,280.616,436.3729,18,1,7,3,1,0
2025-07-01 19:00:00,38966,-4038,4923.6,4296.558,627.042,26981.638,11098.762,21354.998,40607,270.761,436.3729,19,1,7,0,1,0
2025-07-01 19:15:00,39047,-3926,4658.895,4361.764,297.131,27015.607,11298.498,21444.797,42238,278.839,414.5058,19,1,7,1,1,0
2025-07-01 19:30:00,39596,-3967,4515.717,4428.227,87.49,27088.498,11958.785,21519.998,42238,274.883,414.5058,19,1,7,2,1,0
2025-07-01 19:45:00,39788,-4002,4505.015,4493.885,11.13,27424.058,11860.927,21939.998,42238,275.147,414.5058,19,1,7,3,1,0
2025-07-01 20:00:00,40130,-4041,4536.247,4535.367,0.88,27603.908,12030.845,22183.998,42238,275.99,414.5058,20,1,7,0,1,0
2025-07-01 20:15:00,40811,-4076,4584.983,4584.983,0.0,27826.608,12475.409,22241.998,42833,278.99,419.956,20,1,7,1,1,0
2025-07-01 20:30:00,40557,-4035,4628.896,4628.896,0.0,27817.998,12145.106,22241.998,42833,278.99,419.956,20,1,7,2,1,0
2025-07-01 20:45:00,40652,-3992,4674.389,4674.389,0.0,27542.708,12426.903,22073.498,42833,290.99,419.956,20,1,7,3,1,0
2025-07-01 21:00:00,40401,-3951,4717.044,4717.044,0.0,27101.688,12533.268,22070.498,42833,284.99,419.956,21,1,7,0,1,0
2025-07-01 21:15:00,40089,-3907,4761.505,4761.505,0.0,26874.948,12359.547,21939.998,41353,283.843,423.6997,21,1,7,1,1,0
2025-07-01 21:30:00,39719,-4021,4801.419,4801.419,0.0,26741.663,12196.918,21854.673,41353,278.965,423.6997,21,1,7,2,1,0
2025-07-01 21:45:00,39024,-4130,4839.536,4839.536,0.0,26518.031,11796.433,21845.631,41353,275.041,423.6997,21,1,7,3,1,0
2025-07-01 22:00:00,38408,-4243,4876.96,4876.96,0.0,26130.678,11643.362,21574.998,41353,273.277,423.6997,22,1,7,0,0,0
2025-07-01 22:15:00,37859,-4352,4913.44,4913.44,0.0,25478.128,11819.432,21124.998,38037,275.147,421.2601,22,1,7,1,0,0
2025-07-01 22:30:00,37319,-4803,4946.188,4946.188,0.0,25252.962,11922.85,20924.892,38037,271.589,421.2601,22,1,7,2,0,0
2025-07-01 22:45:00,36408,-5251,4981.973,4981.973,0.0,24645.948,12031.079,20324.998,38037,267.015,421.2601,22,1,7,3,0,0
2025-07-01 23:00:00,35717,-5699,5012.789,5012.789,0.0,24579.548,11823.663,20319.998,38037,265.087,421.2601,23,1,7,0,0,0
2025-07-01 23:15:00,35546,-6445,5034.49,5034.49,0.0,24476.458,12480.052,20249.998,35953,255.044,387.9272,23,1,7,1,0,0
2025-07-01 23:30:00,34933,-6445,5050.555,5050.555,0.0,24108.798,12218.647,19939.998,35953,258.529,387.9272,23,1,7,2,0,0
2025-07-01 23:45:00,34440,-6445,5067.641,5067.641,0.0,23783.408,12033.951,19619.998,35953,241.93,387.9272,23,1,7,3,0,0
2025-07-02 00:00:00,34171,-6445,5082.463,5082.463,0.0,23770.578,11762.959,19599.998,35953,217.268,387.9272,0,2,7,0,0,0
2025-07-02 00:15:00,35529,-8577,5216.015,5216.015,0.0,27147.05,11742.935,23492.0,35934,421.918,437.75,0,2,7,1,0,0
2025-07-02 00:30:00,35366,-8420,5221.66,5221.66,0.0,26520.17,12044.17,22896.0,35934,419.863,437.75,0,2,7,2,0,0
2025-07-02 00:45:00,34701,-8353,5227.691,5227.691,0.0,26082.748,11743.561,22435.998,35934,415.828,437.75,0,2,7,3,0,0
2025-07-02 01:00:00,34223,-8195,5239.259,5239.259,0.0,25557.188,11621.553,21921.998,35934,412.961,437.75,1,2,7,0,0,0
2025-07-02 01:15:00,33915,-8426,5250.442,5250.442,0.0,25050.448,12040.11,21405.998,34651,419.963,435.25,1,2,7,1,0,0
2025-07-02 01:30:00,33293,-8561,5258.39,5258.39,0.0,24438.738,12156.872,20796.998,34651,424.903,435.25,1,2,7,2,0,0
2025-07-02 01:45:00,32968,-8696,5265.639,5265.639,0.0,24026.908,12371.453,20382.998,34651,424.903,435.25,1,2,7,3,0,0
2025-07-02 02:00:00,32725,-8831,5275.163,5275.163,0.0,23916.628,12364.209,20304.998,34651,419.976,435.25,2,2,7,0,0,0
2025-07-02 02:15:00,32161,-8964,5279.445,5279.445,0.0,23834.628,12010.927,20214.998,33865,412.735,421.5,2,2,7,1,0,0
2025-07-02 02:30:00,31990,-8965,5283.948,5283.948,0.0,23847.258,11823.794,20214.998,33865,406.735,421.5,2,2,7,2,0,0
2025-07-02 02:45:00,31521,-8965,5288.57,5288.57,0.0,23848.238,11349.192,20218.998,33865,318.735,421.5,2,2,7,3,0,0
2025-07-02 03:00:00,31339,-8965,5292.449,5292.449,0.0,23833.058,11178.493,20218.998,33865,282.294,421.5,3,2,7,0,0,0
2025-07-02 03:15:00,31071,-8963,5302.254,5302.254,0.0,23913.728,10818.018,20298.998,33223,271.735,332.0,3,2,7,1,0,0
2025-07-02 03:30:00,30610,-8966,5308.474,5308.474,0.0,23927.958,10339.568,20307.998,33223,265.625,332.0,3,2,7,2,0,0
2025-07-02 03:45:00,30351,-8968,5309.069,5309.069,0.0,23815.698,10194.233,20217.998,33223,262.735,332.0,3,2,7,3,0,0
2025-07-02 04:00:00,30338,-8970,5310.652,5310.652,0.0,23816.348,10181.0,20223.998,33223,256.735,332.0,4,2,7,0,0,0
2025-07-02 04:15:00,30305,-8970,5304.445,5304.445,0.0,23815.108,10155.447,20221.998,33661,252.735,275.0,4,2,7,1,0,0
2025-07-02 04:30:00,30099,-8971,5293.801,5293.801,0.0,23816.748,9959.451,20221.998,33661,252.735,275.0,4,2,7,2,0,0
2025-07-02 04:45:00,30245,-8971,5283.044,5283.044,0.0,23811.038,10121.918,20217.998,33661,242.812,275.0,4,2,7,3,0,0
2025-07-02 05:00:00,30358,-8971,5277.948,5272.698,5.25,23880.928,10170.124,20297.998,33661,242.812,275.0,5,2,7,0,0,0
2025-07-02 05:15:00,30479,-8971,5285.046,5266.336,18.71,23800.648,10364.306,20217.998,34370,255.735,273.25,5,2,7,1,0,0
2025-07-02 05:30:00,30492,-8855,5373.45,5261.63,111.82,23852.838,10120.712,20223.998,34370,242.812,273.25,5,2,7,2,0,0
2025-07-02 05:45:00,30613,-8735,5598.048,5255.023,343.025,23945.078,9804.874,20223.998,34370,238.0,273.25,5,2,7,3,0,0
2025-07-02 06:00:00,30814,-8617,6009.635,5242.088,767.547,24147.268,9274.097,20223.998,34370,222.77,273.25,6,2,7,0,0,0
2025-07-02 06:15:00,31213,-8497,6739.16,5265.522,1473.638,24473.868,8496.972,20227.998,35507,207.41,114.5972,6,2,7,1,0,0
2025-07-02 06:30:00,31605,-8330,7665.156,5247.857,2417.299,24793.878,7475.966,20111.998,35507,114.37,114.5972,6,2,7,2,0,0
2025-07-02 06:45:00,31948,-8160,8730.495,5227.134,3503.361,25263.307,6114.198,20083.837,35507,41.958,114.5972,6,2,7,3,0,0
2025-07-02 07:00:00,32473,-7991,9974.743,5201.059,4773.684,25751.398,4737.859,20054.998,35507,6.847,114.5972,7,2,7,0,0,0
2025-07-02 07:15:00,33165,-7819,11331.773,5140.338,6191.435,26391.648,3260.579,20054.998,38517,3.883,1.993,7,2,7,1,0,0
2025-07-02 07:30:00,33761,-7622,12835.29,5062.999,7772.291,27119.108,1428.602,20050.998,38517,3.883,1.993,7,2,7,2,0,0
2025-07-02 07:45:00,34322,-7422,14422.344,4988.67,9433.674,27889.388,-567.732,20050.998,38517,3.883,1.993,7,2,7,3,0,0
2025-07-02 08:00:00,35189,-7224,16045.052,4919.41,11125.642,28684.208,-2316.26,20056.998,38517,3.883,1.993,8,2,7,0,0,0
2025-07-02 08:15:00,36504,-7019,17675.133,4873.015,12802.118,29427.278,-3579.411,20018.998,42885,3.883,11.8391,8,2,7,1,0,0
2025-07-02 08:30:00,37562,-7070,19321.315,4835.227,14486.088,30060.058,-4749.373,20012.998,42885,3.883,11.8391,8,2,7,2,0,0
2025-07-02 08:45:00,38912,-7113,20907.378,4798.536,16108.842,30690.058,-5572.436,20050.998,42885,3.883,11.8391,8,2,7,3,0,0
2025-07-02 09:00:00,39549,-7162,22442.912,4775.468,17667.444,31420.838,-7152.75,20012.998,42885,3.883,11.8391,9,2,7,0,1,0
2025-07-02 09:15:00,40691,-6856,23857.059,4776.043,19081.016,32085.008,-8395.067,20015.998,45071,23.576,15.6839,9,2,7,1,1,0
2025-07-02 09:30:00,41338,-6988,25198.612,4801.849,20396.763,32593.348,-9465.96,20012.998,45071,3.883,15.6839,9,2,7,2,1,0
2025-07-02 09:45:00,41943,-7113,26436.561,4828.136,21608.425,32854.888,-10235.449,19712.998,45071,3.883,15.6839,9,2,7,3,1,0
2025-07-02 10:00:00,42845,-6849,27521.684,4854.258,22667.426,32441.828,-10269.512,18818.998,45071,8.637,15.6839,10,2,7,0,1,0
2025-07-02 10:15:00,43477,-6582,28457.816,4880.839,23576.977,31964.878,-10363.694,17927.998,46226,10.56,17.8412,10,2,7,1,1,0
2025-07-02 10:30:00,43997,-6317,29320.43,4910.227,24410.203,31452.888,-10459.318,17027.998,46226,10.56,17.8412,10,2,7,2,1,0
2025-07-02 10:45:00,44551,-6439,30057.256,4939.024,25118.232,31775.898,-10843.154,17018.998,46226,14.775,17.8412,10,2,7,3,1,0
2025-07-02 11:00:00,45100,-6562,30680.402,4964.799,25715.603,32044.588,-11062.99,17018.998,46226,10.783,17.8412,11,2,7,0,1,0
2025-07-02 11:15:00,45361,-6683,31156.5,4972.959,26183.541,30443.338,-9555.838,17018.998,46408,8.93,16.2341,11,2,7,1,1,0
2025-07-02 11:30:00,44771,-6794,31552.634,4970.962,26581.672,30715.498,-10703.132,17056.998,46408,49.132,16.2341,11,2,7,2,1,0
2025-07-02 11:45:00,44068,-6901,31865.491,4969.64,26895.851,30777.698,-11674.189,17056.998,46408,8.637,16.2341,11,2,7,3,1,0
2025-07-02 12:00:00,43903,-7008,32078.985,4966.598,27112.387,30763.098,-11931.083,16983.998,46408,3.883,16.2341,12,2,7,0,1,0
2025-07-02 12:15:00,45364,-7113,32195.697,4961.406,27234.291,30727.288,-10445.985,16986.998,47866,68.015,22.6394,12,2,7,1,1,0
2025-07-02 12:30:00,45914,-7151,32223.248,4954.263,27268.985,30733.778,-9892.026,16986.998,47866,85.895,22.6394,12,2,7,2,1,0
2025-07-02 12:45:00,46219,-7187,32172.549,4946.036,27226.513,30701.478,-9468.027,16986.998,47866,8.329,22.6394,12,2,7,3,1,0
2025-07-02 13:00:00,46130,-7223,32018.675,4932.953,27085.722,30641.258,-9306.933,16990.998,47866,8.329,22.6394,13,2,7,0,1,0
2025-07-02 13:15:00,46443,-7256,31768.616,4916.494,26852.122,32282.878,-10352.494,16948.998,47168,8.329,27.3533,13,2,7,1,1,0
2025-07-02 13:30:00,46092,-7260,31437.8,4900.367,26537.433,32130.058,-10215.858,16986.998,47168,8.329,27.3533,13,2,7,2,1,0
2025-07-02 13:45:00,45962,-7264,30999.337,4881.772,26117.565,31933.298,-9706.635,16986.998,47168,8.329,27.3533,13,2,7,3,1,0
2025-07-02 14:00:00,45028,-7268,30484.713,4861.238,25623.475,31731.958,-9920.671,16986.998,47168,60.556,27.3533,14,2,7,0,1,0
2025-07-02 14:15:00,45321,-7271,29828.099,4836.236,24991.863,31519.568,-8755.667,16980.998,46370,102.79,88.2216,14,2,7,1,1,0
2025-07-02 14:30:00,45103,-7264,29087.839,4813.551,24274.288,31215.798,-7936.637,16980.998,46370,57.676,88.2216,14,2,7,2,1,0
2025-07-02 14:45:00,45331,-7256,28245.252,4793.609,23451.643,31291.638,-6949.89,17286.998,46370,48.561,88.2216,14,2,7,3,1,0
2025-07-02 15:00:00,44918,-7248,27312.387,4772.545,22539.842,31137.108,-6283.495,17548.998,46370,33.553,88.2216,15,2,7,0,1,0
2025-07-02 15:15:00,45025,-7628,26219.803,4754.502,21465.301,31728.278,-5295.081,18486.998,46226,50.894,115.2495,15,2,7,1,1,0
2025-07-02 15:30:00,44561,-7811,25032.358,4735.124,20297.234,32091.648,-4752.006,19386.998,46226,55.113,115.2495,15,2,7,2,1,0
2025-07-02 15:45:00,44327,-7993,23713.708,4718.489,18995.219,32204.218,-3597.926,20105.998,46226,60.034,115.2495,15,2,7,3,1,0
2025-07-02 16:00:00,44288,-8177,22326.674,4698.998,17627.676,32264.268,-2125.942,20630.998,46226,58.839,115.2495,16,2,7,0,1,0
2025-07-02 16:15:00,44435,-8359,20760.851,4683.155,16077.696,32316.504,-283.355,21367.004,45309,22.127,227.4261,16,2,7,1,1,0
2025-07-02 16:30:00,44046,-8468,19126.43,4670.333,14456.097,32207.285,1180.285,21988.165,45309,95.105,227.4261,16,2,7,2,1,0
2025-07-02 16:45:00,44744,-8576,17453.179,4661.262,12791.917,32086.514,3780.307,22615.004,45309,117.704,227.4261,16,2,7,3,1,0
2025-07-02 17:00:00,43926,-8294,15769.526,4656.863,11112.663,31563.994,4886.48,22705.004,45309,235.679,227.4261,17,2,7,0,1,0
2025-07-02 17:15:00,43944,-8007,14087.339,4653.773,9433.566,30945.984,6917.677,22615.004,43575,270.592,480.5614,17,2,7,1,1,0
2025-07-02 17:30:00,43232,-7899,12449.015,4655.741,7793.274,30320.664,8361.321,22705.004,43575,321.351,480.5614,17,2,7,2,1,0
2025-07-02 17:45:00,42542,-7787,10889.981,4664.885,6225.096,29702.694,9736.325,22787.004,43575,419.439,480.5614,17,2,7,3,1,0
2025-07-02 18:00:00,42084,-7678,9472.372,4687.845,4784.527,29636.522,10653.106,23353.482,43575,424.09,480.5614,18,2,7,0,1,0
2025-07-02 18:15:00,42052,-7617,8217.822,4720.102,3497.72,29936.448,11514.73,24128.728,42904,428.833,574.6631,18,2,7,1,1,0
2025-07-02 18:30:00,41653,-7484,7148.176,4762.817,2385.359,29724.16,12264.664,24330.87,42904,437.279,574.6631,18,2,7,2,1,0
2025-07-02 18:45:00,41555,-7349,6249.243,4808.003,1441.24,29927.104,12727.653,24914.004,42904,440.214,574.6631,18,2,7,3,1,0
2025-07-02 19:00:00,41673,-7216,5603.042,4859.857,743.185,30419.774,12866.184,25707.004,42904,429.738,574.6631,19,2,7,0,1,0
2025-07-02 19:15:00,41403,-7079,5270.458,4920.128,350.33,30533.094,12678.448,25166.004,45096,463.004,498.4599,19,2,7,1,1,0
2025-07-02 19:30:00,41631,-7113,5087.901,4985.06,102.841,30697.616,12958.483,25405.576,45096,428.671,498.4599,19,2,7,2,1,0
2025-07-02 19:45:00,42479,-7140,5067.819,5054.869,12.95,31108.894,13442.287,25860.404,45096,429.044,498.4599,19,2,7,3,1,0
2025-07-02 20:00:00,43085,-7172,5090.281,5089.431,0.85,31603.054,13563.665,26321.004,45096,435.692,498.4599,20,2,7,0,1,0
2025-07-02 20:15:00,43650,-7199,5154.14,5154.14,0.0,31867.31,13827.55,26506.28,45637,445.093,515.007,20,2,7,1,1,0
2025-07-02 20:30:00,44212,-7192,5217.602,5217.602,0.0,31957.754,14228.644,26604.004,45637,456.0,515.007,20,2,7,2,1,0
2025-07-02 20:45:00,44315,-7184,5281.05,5281.05,0.0,31854.804,14363.146,26510.004,45637,457.016,515.007,20,2,7,3,1,0
2025-07-02 21:00:00,43974,-7177,5342.688,5342.688,0.0,31680.14,14128.172,26357.09,45637,467.748,515.007,21,2,7,0,1,0
2025-07-02 21:15:00,43824,-7169,5399.564,5399.564,0.0,31637.491,13955.945,26322.141,43615,453.949,526.6672,21,2,7,1,1,0
2025-07-02 21:30:00,43033,-7258,5452.197,5452.197,0.0,31478.519,13360.284,26207.079,43615,445.242,526.6672,21,2,7,2,1,0
2025-07-02 21:45:00,42648,-7342,5501.264,5501.264,0.0,31157.031,13331.705,26091.001,43615,439.24,526.6672,21,2,7,3,1,0
2025-07-02 22:00:00,42088,-7429,5548.173,5548.173,0.0,30662.004,13306.823,25605.404,43615,442.468,526.6672,22,2,7,0,0,0
2025-07-02 22:15:00,41209,-7513,5592.767,5592.767,0.0,30079.224,13050.009,25177.504,40535,431.638,512.8493,22,2,7,1,0,0
2025-07-02 22:30:00,40651,-7963,5632.672,5632.672,0.0,29974.248,13007.08,25090.168,40535,420.522,512.8493,22,2,7,2,0,0
2025-07-02 22:45:00,39763,-8412,5670.3,5670.3,0.0,29734.456,12770.244,24843.916,40535,420.839,512.8493,22,2,7,3,0,0
2025-07-02 23:00:00,38960,-8860,5704.297,5704.297,0.0,29264.096,12851.607,24418.106,40535,420.377,512.8493,23,2,7,0,0,0
